strategy,pattern,pattern_length,support_percent_m,support_percent_b,support_count_m,support_count_b,GR_Malignant,GR_Benign,Contrast_Rate
uniform,"[('high_concave points_worst',), ('medium_concave points_mean',)]",2,0.10849056603773585,0.0,23.0,0.0,inf,0.0,inf
uniform,"[('high_concave points_worst',), ('medium_concavity_mean',)]",2,0.09905660377358491,0.0,21.0,0.0,inf,0.0,inf
uniform,"[('low_compactness_mean',), ('low_compactness_se',)]",2,0.0,0.09803921568627451,0.0,35.0,0.0,inf,inf
uniform,"[('low_compactness_mean',), ('low_compactness_worst',)]",2,0.0,0.13445378151260504,0.0,48.0,0.0,inf,inf
uniform,"[('low_compactness_mean',), ('low_concavity_mean',)]",2,0.0,0.10644257703081232,0.0,38.0,0.0,inf,inf
uniform,"[('low_compactness_mean',), ('low_concavity_worst',)]",2,0.0,0.10084033613445378,0.0,36.0,0.0,inf,inf
uniform,"[('low_compactness_worst',), ('low_compactness_se',)]",2,0.0,0.1092436974789916,0.0,39.0,0.0,inf,inf
uniform,"[('low_concave points_se',), ('low_compactness_mean',)]",2,0.0,0.10364145658263306,0.0,37.0,0.0,inf,inf
uniform,"[('low_concave points_se',), ('low_concave points_mean',)]",2,0.0,0.13725490196078433,0.0,49.0,0.0,inf,inf
uniform,"[('low_concave points_se',), ('low_concave points_worst',)]",2,0.0,0.11764705882352941,0.0,42.0,0.0,inf,inf
uniform,"[('low_concave points_se',), ('low_concavity_mean',)]",2,0.0,0.10364145658263306,0.0,37.0,0.0,inf,inf
uniform,"[('low_concave points_worst',), ('low_compactness_mean',)]",2,0.0,0.1092436974789916,0.0,39.0,0.0,inf,inf
uniform,"[('low_concave points_worst',), ('low_compactness_worst',)]",2,0.0,0.1092436974789916,0.0,39.0,0.0,inf,inf
uniform,"[('low_concave points_worst',), ('low_concave points_mean',)]",2,0.0,0.15406162464985995,0.0,55.0,0.0,inf,inf
uniform,"[('low_concave points_worst',), ('low_concavity_worst',)]",2,0.0,0.14285714285714285,0.0,51.0,0.0,inf,inf
uniform,"[('low_concave points_worst',), ('low_perimeter_worst',)]",2,0.0,0.1092436974789916,0.0,39.0,0.0,inf,inf
uniform,"[('low_concavity_worst',), ('low_compactness_worst',)]",2,0.0,0.11764705882352941,0.0,42.0,0.0,inf,inf
uniform,"[('low_concavity_worst',), ('low_concave points_mean',)]",2,0.0,0.09803921568627451,0.0,35.0,0.0,inf,inf
uniform,"[('low_concavity_worst',), ('low_concavity_mean',)]",2,0.0,0.15966386554621848,0.0,57.0,0.0,inf,inf
uniform,"[('low_perimeter_mean',), ('low_area_mean',)]",2,0.0,0.19047619047619047,0.0,68.0,0.0,inf,inf
uniform,"[('low_perimeter_mean',), ('low_perimeter_worst',)]",2,0.0,0.1876750700280112,0.0,67.0,0.0,inf,inf
uniform,"[('low_perimeter_mean',), ('low_radius_mean',)]",2,0.0,0.10644257703081232,0.0,38.0,0.0,inf,inf
uniform,"[('low_perimeter_mean',), ('low_radius_worst',), ('low_area_mean',)]",3,0.0,0.09803921568627451,0.0,35.0,0.0,inf,inf
uniform,"[('low_perimeter_mean',), ('low_radius_worst',)]",2,0.0,0.17366946778711484,0.0,62.0,0.0,inf,inf
uniform,"[('low_perimeter_worst',), ('low_area_mean',)]",2,0.0,0.13725490196078433,0.0,49.0,0.0,inf,inf
uniform,"[('low_perimeter_worst',), ('low_radius_worst',)]",2,0.0,0.12605042016806722,0.0,45.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_area_mean',)]",2,0.0,0.19887955182072828,0.0,71.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_perimeter_mean',), ('low_area_mean',)]",3,0.0,0.13725490196078433,0.0,49.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_perimeter_mean',), ('low_perimeter_worst',)]",3,0.0,0.12605042016806722,0.0,45.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_perimeter_mean',), ('low_radius_worst',)]",3,0.0,0.12885154061624648,0.0,46.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_perimeter_mean',)]",2,0.0,0.20168067226890757,0.0,72.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_perimeter_worst',), ('low_area_mean',)]",3,0.0,0.10084033613445378,0.0,36.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_perimeter_worst',)]",2,0.0,0.19047619047619047,0.0,68.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_radius_worst',), ('low_area_mean',)]",3,0.0,0.10084033613445378,0.0,36.0,0.0,inf,inf
uniform,"[('low_radius_mean',), ('low_radius_worst',)]",2,0.0,0.17647058823529413,0.0,63.0,0.0,inf,inf
uniform,"[('low_radius_se',), ('low_area_se',)]",2,0.10377358490566038,0.0,22.0,0.0,inf,0.0,inf
uniform,"[('low_radius_worst',), ('low_area_mean',)]",2,0.0,0.1400560224089636,0.0,50.0,0.0,inf,inf
uniform,"[('low_radius_worst',), ('low_area_worst',)]",2,0.0,0.10084033613445378,0.0,36.0,0.0,inf,inf
uniform,"[('low_radius_worst',), ('low_perimeter_worst',)]",2,0.0,0.12885154061624648,0.0,46.0,0.0,inf,inf
uniform,"[('low_smoothness_mean',), ('low_compactness_mean',)]",2,0.0,0.12885154061624648,0.0,46.0,0.0,inf,inf
uniform,"[('low_smoothness_mean',), ('low_compactness_worst',)]",2,0.0,0.09803921568627451,0.0,35.0,0.0,inf,inf
uniform,"[('low_smoothness_mean',), ('low_concave points_mean',)]",2,0.0,0.1092436974789916,0.0,39.0,0.0,inf,inf
uniform,"[('low_smoothness_mean',), ('low_concave points_worst',)]",2,0.0,0.10644257703081232,0.0,38.0,0.0,inf,inf
