strategy,top-K features K,min_sup,max sequence length L,malignant_patterns_length,benign_patterns_length,total_patterns
uniform,3,0.15,3,0,0,0
uniform,3,0.15,5,0,0,0
uniform,3,0.15,10,0,0,0
uniform,3,0.1,3,0,0,0
uniform,3,0.1,5,0,0,0
uniform,3,0.1,10,0,0,0
uniform,3,0.05,3,0,4,4
uniform,3,0.05,5,0,4,4
uniform,3,0.05,10,0,4,4
uniform,5,0.15,3,0,0,0
uniform,5,0.15,5,0,0,0
uniform,5,0.15,10,0,0,0
uniform,5,0.1,3,1,2,3
uniform,5,0.1,5,1,2,3
uniform,5,0.1,10,1,2,3
uniform,5,0.05,3,16,13,29
uniform,5,0.05,5,16,13,29
uniform,5,0.05,10,16,13,29
uniform,10,0.15,3,10,10,20
uniform,10,0.15,5,10,10,20
uniform,10,0.15,10,10,10,20
uniform,10,0.1,3,30,55,85
uniform,10,0.1,5,30,55,85
uniform,10,0.1,10,30,55,85
uniform,10,0.05,3,252,334,586
uniform,10,0.05,5,255,343,598
uniform,10,0.05,10,255,343,598
quantile,3,0.15,3,0,0,0
quantile,3,0.15,5,0,0,0
quantile,3,0.15,10,0,0,0
quantile,3,0.1,3,0,0,0
quantile,3,0.1,5,0,0,0
quantile,3,0.1,10,0,0,0
quantile,3,0.05,3,6,4,10
quantile,3,0.05,5,6,4,10
quantile,3,0.05,10,6,4,10
quantile,5,0.15,3,0,0,0
quantile,5,0.15,5,0,0,0
quantile,5,0.15,10,0,0,0
quantile,5,0.1,3,4,1,5
quantile,5,0.1,5,4,1,5
quantile,5,0.1,10,4,1,5
quantile,5,0.05,3,32,13,45
quantile,5,0.05,5,32,13,45
quantile,5,0.05,10,32,13,45
quantile,10,0.15,3,26,9,35
quantile,10,0.15,5,26,9,35
quantile,10,0.15,10,26,9,35
quantile,10,0.1,3,95,46,141
quantile,10,0.1,5,95,46,141
quantile,10,0.1,10,95,46,141
quantile,10,0.05,3,438,290,728
quantile,10,0.05,5,465,299,764
quantile,10,0.05,10,465,299,764
kmeans,3,0.15,3,0,0,0
kmeans,3,0.15,5,0,0,0
kmeans,3,0.15,10,0,0,0
kmeans,3,0.1,3,0,0,0
kmeans,3,0.1,5,0,0,0
kmeans,3,0.1,10,0,0,0
kmeans,3,0.05,3,2,4,6
kmeans,3,0.05,5,2,4,6
kmeans,3,0.05,10,2,4,6
kmeans,5,0.15,3,0,0,0
kmeans,5,0.15,5,0,0,0
kmeans,5,0.15,10,0,0,0
kmeans,5,0.1,3,1,2,3
kmeans,5,0.1,5,1,2,3
kmeans,5,0.1,10,1,2,3
kmeans,5,0.05,3,20,13,33
kmeans,5,0.05,5,20,13,33
kmeans,5,0.05,10,20,13,33
kmeans,10,0.15,3,11,10,21
kmeans,10,0.15,5,11,10,21
kmeans,10,0.15,10,11,10,21
kmeans,10,0.1,3,38,51,89
kmeans,10,0.1,5,38,51,89
kmeans,10,0.1,10,38,51,89
kmeans,10,0.05,3,266,286,552
kmeans,10,0.05,5,272,295,567
kmeans,10,0.05,10,272,295,567
